,0,1
0,Albuquerque,Albuquerque
1,Anaheim,Anaheim
2,Anchorage,Anchorage
3,Arlington,Arlington
4,Atlanta,Atlanta
5,Aurora,Aurora
6,Austin,Austin
7,Bakersfield,Bakersfield
8,Baltimore,Baltimore
9,Baton Rouge,Baton Rouge
10,Birmingham,Birmingham
11,Boise,Boise
12,Boston,Boston
13,Buffalo,Buffalo
14,Chandler,Chandler
15,Charlotte,Charlotte
16,Chesapeake,Chesapeake
17,Chicago,Chicago
18,Chula Vista,Chula Vista
19,Cincinnati,Cincinnati
20,Cleveland,Cleveland
21,Colorado Springs,Colorado Springs
22,Columbus,Columbus
23,Corpus Christi,Corpus Christi
24,Dallas,Dallas
25,Denver,Denver
26,Detroit,Detroit
27,Durham,Durham
28,El Paso,El Paso
29,Fort Wayne,Fort Wayne
30,Fort Worth,Fort Worth
31,Fremont,Fremont
32,Fresno,Fresno
33,Garland,Garland
34,Gilbert,Gilbert
35,Glendale,Glendale
36,Greensboro,Greensboro
37,Henderson,Henderson
38,Hialeah,Hialeah
39,Honolulu,Honolulu
40,Houston,Houston
41,Indianapolis,Indianapolis
42,Irvine,Irvine
43,Irving,Irving
44,Jacksonville,Jacksonville
45,Jersey City,Jersey City
46,Kansas City,Kansas City
47,Laredo,Laredo
48,Las Vegas,Las Vegas
49,Lexington,Lexington
50,Lincoln,Lincoln
51,Long Beach,Long Beach
52,Los Angeles,Los Angeles
53,Louisville,Louisville
54,Lubbock,Lubbock
55,Madison,Madison
56,Memphis,Memphis
57,Mesa,Mesa
58,Miami,Miami
59,Milwaukee,Milwaukee
60,Minneapolis,Minneapolis
61,Nashville,Nashville
62,New Orleans,New Orleans
63,New York,New York
64,Newark,Newark
65,Norfolk,Norfolk
66,North Las Vegas,North Las Vegas
67,Oakland,Oakland
68,Oklahoma City,Oklahoma City
69,Omaha,Omaha
70,Orlando,Orlando
71,Philadelphia,Philadelphia
72,Phoenix,Phoenix
73,Pittsburgh,Pittsburgh
74,Plano,Plano
75,Portland,Portland
76,Raleigh,Raleigh
77,Reno,Reno
79,Riverside,Riverside
80,Sacramento,Sacramento
81,San Antonio,San Antonio
82,San Bernardino,San Bernardino
83,San Diego,San Diego
84,San Francisco,San Francisco
85,San Jose,San Jose
86,Santa Ana,Santa Ana
87,Scottsdale,Scottsdale
88,Seattle,Seattle
89,St. Louis,St. Louis
90,St. Paul,St. Paul
91,St. Petersburg,St. Petersburg
92,Stockton,Stockton
93,Tampa,Tampa
94,Toledo,Toledo
95,Tucson,Tucson
96,Tulsa,Tulsa
97,Virginia Beach,Virginia Beach
98,Washington DC.,Washington DC.
99,Wichita,Wichita
100,Winston-Salem,Winston-Salem
